Qty,Description,Unit Cost,Sum Cost,MFG,MFG P/N,Vendor,Vendor P/N,Link
1,Sulzer Mixpac EADM200-01 System 200 Manual Gun 200 mL 1 to 1 or 2 to 1,228.80,228.80,?,?,Ellsworth Adhesives,EADM200-01,https://www.ellsworth.com/products/dispensing-equipment-supplies/dispensing-systems-fluid/hand-held-2-part-applicators/sulzer-mixpac-eadm200-01-system-200-manual-gun-200-ml-1-to-1-or-2-to-1/
1,TAH EA250-24 Series 160 Plastic Spiral Bell Mixer 0.250 x 24 Element,65.50,65.50,?,?,Ellsworth Adhesives,EA250-24,https://www.ellsworth.com/products/dispensing-equipment-supplies/tips-needles-nozzles-static-mixers/static-mixing-nozzles/tah-ea250-24-series-160-plastic-spiral-bell-mixer-0.250-x-24-element/
,Powerpole crimping tool,,,,,,,
